LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(pixel/sec),(pixel),(sec),(pixel),(pixel),(pixel),
ID1180579 ? ID1180608,1204,1180579,1180608,0.003924380814000889,3.0187902525926407,0.06264487859355215,0.06264487859355215,714.5,72.50300292992154,12.537911325086794,0.0,
ID1180321 ? ID1180351,1204,1180321,1180351,7.682198990970691E-4,NaN,0.027716780099735053,0.027716780099735053,705.5,72.40253402118455,12.469616405935486,0.0,
ID1180382 ? ID1180408,1204,1180382,1180408,1.8178937792827043E-4,2.702615017662724,0.01348292913013602,0.01348292913013602,707.5,72.40353799657078,12.5049510378932,0.0,
ID1180432 ? ID1180486,1204,1180432,1180486,0.029371875716835652,1.4434201525500545,0.0856911251484593,0.1713822502969186,710.0,72.57209764599054,12.43528706061867,0.0,
ID1180486 ? ID1180512,1204,1180486,1180512,0.01565745826156004,0.12454869859573554,0.12512976568970327,0.12512976568970327,711.5,72.42420668853623,12.440292082402207,0.0,
ID1180512 ? ID1180550,1204,1180512,1180550,0.04014995104726636,2.953145517222294,0.20037452694209001,0.20037452694209001,712.5,72.45787225100148,12.417841827199995,0.0,
ID1180317 ? ID1180346,1205,1180317,1180346,7.195586731918843E-4,NaN,0.026824590829906136,0.026824590829906136,704.5,78.81248970477459,65.10379771301321,0.0,
ID1180346 ? ID1180373,1205,1180346,1180373,0.01579259981767679,2.063120645183105,0.1256686111074551,0.1256686111074551,705.5,78.78238088981308,65.05455543148577,0.0,
ID1180347 ? ID1180374,1206,1180347,1180374,0.6207770263851412,NaN,0.7878940451514665,0.7878940451514665,705.5,40.89720030170625,67.39059911995739,0.0,
ID1180401 ? ID1180424,1207,1180401,1180424,0.022991892052882015,2.671150928687812,0.15163077541476208,0.15163077541476208,707.5,75.83724122016929,52.656331456269804,0.0,
ID1180316 ? ID1180345,1207,1180316,1180345,0.03245944109100741,NaN,0.1801650384814085,0.1801650384814085,704.5,75.81529894316614,52.703131597028474,0.0,
ID1180370 ? ID1180401,1207,1180370,1180401,0.051575328388487225,3.1398313344985986,0.227102021982384,0.227102021982384,706.5,75.86597601653531,52.70601740230163,0.0,
ID1180345 ? ID1180370,1207,1180345,1180370,0.062382943068636745,2.9516331304529704,0.24976577641589878,0.24976577641589878,705.5,75.85547240872731,52.70175950893908,0.0,
ID1180307 ? ID1180338,1208,1180307,1180338,0.02534516487925307,NaN,0.15920164848158158,0.15920164848158158,704.5,29.828620689588114,39.225182341683464,0.0,
ID1180584 ? ID1180613,1209,1180584,1180613,0.025900003304907424,0.6521744039121741,0.16093477966215824,0.16093477966215824,714.5,28.054723653525738,24.42584740582531,0.0,
ID1180295 ? ID1180327,1209,1180295,1180327,0.003996022065521489,NaN,0.06321409704742677,0.06321409704742677,704.5,27.97856894358735,24.201383182353517,0.0,
ID1180519 ? ID1180556,1209,1180519,1180556,0.06965473332775601,2.2851133725121855,0.26392183185131923,0.26392183185131923,712.5,28.081027103874852,24.229049679355292,0.0,
ID1180412 ? ID1180441,1209,1180412,1180441,0.011800481269274332,2.934331259544784,0.108630020110807,0.108630020110807,708.5,27.965639219817888,24.359992362286683,0.0,
ID1180613 ? ID1180646,1209,1180613,1180646,0.014100808053420667,2.0707160581632316,0.11874682334033473,0.11874682334033473,715.5,27.9844968313862,24.40375577851761,0.0,
